Source,Target,Weight
0tsutsukiM0n,detikcom,1
0x_pastaMan,anvie,1
0x_pastaMan,neohistoria_id,1
0xsubekti,anonjawa,1
0xsubekti,keyopinionlead,1
101strk,AHEGA0J00NG,1
101strk,TheNugrawesome,1
101strk,chubbyneoguri,1
2komaini_ahmad4,ncuz_3a16,1
4anonimitas,sofiesyarief,1
4anonimitas,wisnu_prasetya,1
6u5tiLiem,Mdy_Asmara1701,1
6u5tiLiem,zer0failed,1
73eb553d74864d6,Aryprasetyo85,1
AJIBdg,AJIIndonesia,1
ASSurakarta1923,tiranosansss,1
A_Ryo77,Tan_Mar3M,1
A_Ryo77,blank0429,2
AbiyRiskifa,grok,2
AbiyRiskifa,nessiejudge,1
Adhit_Android,ELNKNTL,1
AdityaJere89853,DPR_RI,1
AfganPrionggo,EdwrdPatrick,1
AhmadRoyhan33,kikysaputrii,1
AlcierMadh,pandji,1
Aldo_regi15,jackjackparrr,1
Andrejivisi,Mdy_Asmara1701,1
Andrejivisi,adhepur,1
Angka1215,DrEvaChaniago,1
Angka1215,msaid_didu,1
Ardi45055074,JalmowonoArief,1
Ardi45055074,Kimberley_PS08,2
Ardi45055074,barqimunir06,1
Asep_Shelby,Rebornian48,1
Babatmentai,hopemikenzi,1
Bazingarock,ARSIPAJA,1
BintangGuci,corbuzier,1
BonarSiaha55396,mohmahfudmd,1
BongkahI,DPR_RI,1
Brahim_maldini,ernestprakasa,1
Bud_Cavalera,ferrykoto,1
Budisae_,akhlakminus,1
BukanTikus_,ARSIPAJA,1
Burudull,TheEagle_BEN,1
CarolineSarah5,Anak__Ogi,1
CarolineSarah5,StefanAntonio__,1
CarolineSarah5,jokowi,1
CarolineSarah5,kemkominfo,1
ChunZTR,ha____ppare,1
Coklatkejuenk,Nara_IDN,1
Coklatkejuenk,ciumjingyuan,1
Coklatkejuenk,fatherbuysmilk,1
ConeFozz,infoXwor_,1
CryptoOdet,hnirankara,1
Danzo5himura,ARSIPAJA,1
Danzo5himura,tanyakanrl,1
DarahBiroe,PartaiSocmed,1
DarahBiroe,PaulusWijaya007,1
DarahBiroe,ekraf_ri,1
Dasyasmina,SoeTjenMarching,1
DavidBelcrant,ARSIPAJA,1
DavidBelcrant,hnirankara,1
DeniSupriyadi06,007koteka,1
DeniSupriyadi06,03__nakula,1
DeniSupriyadi06,AJIIndonesia,1
DeniSupriyadi06,Anak__Ogi,1
DeniSupriyadi06,AntoniusCDN,1
DeniSupriyadi06,Aryprasetyo85,1
DeniSupriyadi06,KPK_RI,1
DeniSupriyadi06,Miduk17,1
DeniSupriyadi06,NgkongRoses,1
DeniSupriyadi06,erickthohir,1
DeniSupriyadi06,officialMKRI,1
DeniSupriyadi06,serakyut,1
DeniSupriyadi06,seruanhl,1
DeriSepti,ainascnrrmt,1
DeriSepti,yosefikr,1
EndraSept,NarasiNewsroom,1
EndraSept,logos_id,1
EstchenDahl,Wicthd14Ddy,1
EstchenDahl,jstwillians,1
ExThar_ofc,cinnamongirlc,1
ExThar_ofc,nervessean,1
FARHAN2Humanity,okkymadasari,1
FRAKasdf,DamarWibawa,1
Fadlipenyair12,keuangan,1
Fadlipenyair12,keuangannews_id,1
Fai03vrd,pandji,1
FanyRihardi,UXLINKofficial,1
FanyRihardi,onunblocked,1
Firados1,remotivi,1
Frido310595,timpenguinnas,1
Fuzui_jamrd,jstwillians,1
GamesRha,ARSIPAJA,6
GamesRha,B0babobabobabo,2
GamesRha,auzaanf,1
GamesRha,fallingmonstar,6
GamesRha,nuvillaera,6
Gespentser,ARSIPAJA,1
Gespentser,fallingmonstar,1
Giro004,GemaShowIndo,1
Giro004,TrustMe3Buddy,1
Giro004,ernestprakasa,1
Giro004,remotivi,1
GrindingBasara,ardisatriawan,1
GrindingBasara,galihKA,1
GunDawan8,ernestprakasa,1
Gundaaaamn,Purrell_Fiktif,1
HMJUSUFRIZAL,ForHumBUMN,1
HMJUSUFRIZAL,KemenBUMN,1
HMJUSUFRIZAL,ListyoSigitP,1
HMJUSUFRIZAL,SATULSM_LIRA,1
HMJUSUFRIZAL,dewanpers,1
HMJUSUFRIZAL,erickthohir,1
HMJUSUFRIZAL,kadivhumaspolri,1
HMJUSUFRIZAL,usernotfund34,1
Hamdiirawan17,ARSIPAJA,1
Hamdiirawan17,corbuzier,2
Hamdiirawan17,hamba_sahaaya,1
Hamdiirawan17,memefess,1
Hatamian11,30imagi,1
Hatamian11,ShaniBudi,1
Hatamian11,_haye_,1
Hatamian11,bima_ynwa_92,1
Hatamian11,nusapelagos,1
Hiemuzaaa,kumparan,2
Hiemuzaaa,my_starryskyy,1
Hiemuzaaa,setyotomo16,1
IkhsanRevanur,MythiaVTuber,1
Imade_kun,CurhatKRL,1
Imade_kun,ShellyTanoto,1
InilahMojokerto,DPR_RI,1
Ivanien11,KakekHalal,1
Ivanien11,PDI_Perjuangan,1
JackMoon_MikeAK,remotivi,1
JamesHarletv2,kemkominfo,1
JarjitPacul,barengwarga,1
JonKoplomukidi,MichelAdam7__,1
KOPKENTOT,yuniperes,1
KaixaVtuber,Cah_bedor,1
KaixaVtuber,MichelAdam7__,2
KaptenMala44,peter_parkour12,1
KcroxJ,ARSIPAJA,1
KcroxJ,zfhorsed,1
KenDjoko,remotivi,1
KenapaGwWNI,julidah168,1
KenapaGwWNI,regulusaja,1
Kertaaslusuh,ARSIPAJA,1
Kevin_asGudier,pandji,1
KolondamSamuel,Adiprayitno_20,2
KolondamSamuel,Dennysiregar7,1
KolondamSamuel,YNaisunis,1
KolondamSamuel,corbuzier,1
KomnasPerempuan,DPR_RI,1
KrazzyCats,ARSIPAJA,2
KrazzyCats,GamesRha,2
KrazzyCats,fallingmonstar,2
KrazzyCats,nuvillaera,2
KuntoAjiW,txtdrjkt,1
Kusumah94841006,corbuzier,1
LPM_Dinamika,LPMTEROPONGUMSU,1
Leviathan5th,SoundOfYogi,1
LuvVoldermort,heynads_,1
LuvVoldermort,muhhussen,1
LuvVoldermort,villifai,1
LylySophie1,ardisatriawan,1
MW_kahmijaya,beritasatu,1
MarinaPutr,MirnaSari0,1
MashiroJunalx,BudiBukanIntel,1
Merdekja,Heraloebss,1
Merdekja,bacottetangga_,1
Merdekja,celinblink,1
MpRamli,PKSejahtera,1
MrSelimutjiwa,jokoanwar,1
Mr_Sukr0o,ARSIPAJA,1
MusTakim1091,dbluestarqueen,1
MusTakim1091,hnirankara,1
NAUIIEE,directioncee,1
Nafiszabdl27,DPR_RI,1
NasiAking234,DPR_RI,1
NasiAking234,GeiszChalifah,1
NasiAking234,jokowi,1
NidaaIsti,Kopiseduh_,1
NurKhol81980737,DrEvaChaniago,1
Nurulbona,ditanindyak,1
Nurulbona,tanyakanrl,1
P3gEl,Deslini2,1
P3gEl,detikcom,1
P3gEl,geloraco,1
PalletRf,corbuzier,1
PaulusWijaya007,PartaiSocmed,1
PaulusWijaya007,ekraf_ri,1
PemudaBerimpact,corbuzier,1
Pepeokatze,KompasTV,1
Pepeokatze,zip88zing,1
Pixie_Parasols,StefanAntonio__,1
Prasejaya,unilubis,1
Pungki310,mediaindonesia,2
R_Perkasa,arungbudoyo,1
RayaLegawa,CNNIndonesia,1
RayaLegawa,unilubis,2
RedandW96922244,ferrykoto,1
ReeEzzZ25,PartaiSocmed,1
ReeEzzZ25,majorcraftjoe,1
ReeEzzZ25,zldrsliana,1
ReinHeartAster,kemkominfo,1
RenStriveIV,RilMeniir,1
RendyAsharry,Hasbil_Lbs,1
RendyAsharry,kikysaputrii,1
RendyAsharry,pandji,1
RendyAsharry,shbsoffan,1
RifqiBahtiar3,cnbcindonesia,1
RioOchou,DPR_RI,1
RioOchou,puanmaharani_ri,1
RyS_374,DedynurPalakka,1
SETYAKI22965702,Prasety253,1
SRamadhanty03,tilehopper,1
SandyOE988,ARSIPAJA,1
SangraKarisma,ShofwanMuis,1
SangraKarisma,tengklengklewer,1
SangraKarisma,unilubis,1
ScuderiaUnited5,roan_gylberth,1
Serakkuma,akrmidori,1
Simaniakair2,banyakinbobanya,1
Simaniakair2,selphieusagi,1
SimplyWrencc,peter_parkour12,1
Singo_Yudho5,DPR_RI,1
Singo_Yudho5,grok,1
Singo_Yudho5,prabowo,4
Sky_Buz5,CemeNiXapriL,1
Sky_Buz5,ardisatriawan,1
SonanHD,medyrenaldy_,1
SonoraFM92,Miroliaa,1
Studywithtuday,leonagustine,1
Supaidaman_12,timpenguinnas,1
Tampandanbrni,aniesbubble,1
Tampandanbrni,remotivi,1
Tampandanbrni,timpenguinnas,1
TrifanyKim96,akaashikasihku,1
TrifanyKim96,barengwarga,1
TrifanyKim96,yaekaaa2_,1
TrustMe3Buddy,ernestprakasa,1
UnxpectedUxp,tempodotco,1
Uptoyedamie07,remotivi,1
Uptoyedamie07,timpenguinnas,1
ViafaAliph,GeiszChalifah,1
ViafaAliph,OposisiOjol,1
ViafaAliph,PKSejahtera,1
ViafaAliph,msaid_didu,1
WartaKepri,YouTube,1
Wedhuzjr,corbuzier,1
XRenSteve,tanyarlfes,1
XcalbrioAryaK,txtdrimedia,1
Yafi_Nur04,LodhongA,1
Yafi_Nur04,txtdrimedia,1
YttAlx,MythiaVTuber,1
Zaenal58788427,KompasTV,1
Zaenal58788427,akbarfaizal68,1
Zaenal58788427,dewanpers,1
Zaenal58788427,jokowi,1
Zaenal58788427,prabowo,1
Zaenal58788427,temponewsroom,1
Zul691112,jokowi,1
Zul691112,kemkominfo,1
_IhzaFirdaus,nialubis_,1
_balabadik,juvegaristabah,1
_infaustj,malakaprojectid,1
_infaustj,pandji,1
_mediasiber,kabarterkini,2
_rwis26,sukamaung,1
a22i03s,ARSIPAJA,1
a22i03s,fallingmonstar,1
aasikinn27,Iwantrianto6,1
aasikinn27,KompasTV,1
aasikinn27,akbarfaizal68,2
aasikinn27,cakimiNOW,1
aasikinn27,dewanpers,1
aasikinn27,jokowi,1
aasikinn27,kompascom,1
aasikinn27,msaid_didu,2
aasikinn27,prabowo,1
aasikinn27,temponewsroom,1
abedd98,Mdy_Asmara1701,1
abedd98,adhepur,1
abinada_syah,brfelindra,1
ablubukblubuk,WANNABE2YOU,1
absvalueofx,corbuzier,1
adeliadrna,MirnaSari0,1
adxtsn,pangeransiahaan,1
aeueeeh,tilehopper,1
afterlifedie,CNNIndonesia,1
agasemakindepan,tokobintang21,1
ainunzahras,remotivi,1
akbaraja2020,Arie_Kriting,1
akbarsuryaaa_,JayadiZ61514,1
akbarsuryaaa_,PartaiSocmed,1
akbarsuryaaa_,rendi078,1
akhmadsm_181120,KompasTV,1
akmalmaulanaa10,kasintayuraaa,1
al_yulianra,tvindonesiawkwk,1
alexeturco67,tilehopper,1
alfiaansyahpt,MirnaSari0,1
alikhlasmu,YouTube,1
alpukatnuklir,gedangtibo,1
ameliapprmatasz,kasintayuraaa,1
an_ssky,igansep,1
anamazingbali,timpenguinnas,1
andi_chairil,PDI_Perjuangan,1
andiawanfirman,kasintayuraaa,1
andreanmlnn,MirnaSari0,1
anggaa_93,corbuzier,1
anginlewat,Ridwannurm,1
anginlewat,WidasSatyo,1
antarakalbar,antarakalbar,1
archivemeng,samuelpab,1
are_inismyname,Ndons_Back,1
arekbirmingham,corbuzier,1
argentas58,corbuzier,1
ariamansluggish,TxtdariHI,1
ariamansluggish,aldyxcvii,1
arthabima,GenuineHeart11,1
arthabima,kelapamuda0468,1
arthabima,suardanaxxii,1
arthabima,zoelfick,1
astrida_kaumah4,brfelindra,1
aurora_usada024,brfelindra,1
ayana_febrina,brfelindra,1
bainanjia,seijuruou,1
bakko_apiyapi,kikysaputrii,1
bambang314,msaid_didu,1
bambang_dody81,brfelindra,1
banjarmasinpost,banjarmasinpost,1
bapakkausetan,TirtoID,1
bapakkausetan,fahridh2,1
bapakkausetan,grok,1
bapakkausetan,hansbacara,1
bapakkausetan,tempodotco,2
bapakkausetan,wannafigh,1
barengwarga,remotivi,1
bebrykes,ARSIPAJA,1
bellaViztaa,absnthmind,1
beritajatimcom,beritajatimcom,6
billyjoelbob78,cumainfoinaja,1
billyjoelbob78,mosidik,1
bima_setyaputra,tilehopper,1
bintangazhari,Zuherooo,2
bitter_daddy,BocorAlusPol,1
blank0429,A_Ryo77,1
blank0429,Tan_Mar3M,1
bloodpr38214983,Dandhy_Laksono,1
bungaaah_,ARSIPAJA,1
bungaaah_,GamesRha,1
bungaaah_,fallingmonstar,1
bungaaah_,nuvillaera,1
bungbess,tempodotco,1
chsappeal,fourxio,1
citrouillemiam,febrofirdaus,1
clawhs02,DitjenPajakRI,1
clawhs02,jokowi,1
clawhs02,ridwankamil,1
clayiskoro,BERAXnews,1
clayiskoro,Listy9021,1
clayiskoro,corbuzier,1
clayiskoro,dantsus,1
clayiskoro,karinajonkwe,1
cranki_franci,ARSIPAJA,1
cryawan,BocorAlusPol,1
cryawan,BudiBukanIntel,1
cryawan,barengwarga,1
cryawan,samuelpab,1
cukupsatukata_,jokoanwar,1
cyactus,IunarIux,1
daehypeelS_,BudiBukanIntel,1
danurumbara,cakkadull,1
darmrditya,DPR_RI,1
darmrditya,corbuzier,1
daylightemi59,tilehopper,1
de_nada_11,barengwarga,1
detakkaltim,detakkaltim,1
detikcom,detik_sumbagsel,1
deugalih,ipulsingasong,1
devi_pray,ganjarpranowo,1
devi_pray,jokowi,1
devi_pray,mohmahfudmd,1
devi_pray,puanmaharani_ri,1
dicky_santo88,brfelindra,1
dinda876789,arisdogonzalez,1
djurovichad,tilehopper,1
dokterparu,SINDIKASI_,1
dokterparu,remotivi,1
dokterparu,shallypristine,1
dokterparu,timpenguinnas,1
domsumurup,ARSIPAJA,1
drupadawan,BosPurwa,1
drupadawan,Paradox_Buzz,1
duchessofina,guccois,1
ebonXboy,AlpaZuluFoxtrot,2
ebonXboy,Dennysiregar7,2
ebonXboy,ManaluHumiras,1
ebonXboy,summer_sky_001,2
ellsgodmother,ezash,1
erunobi_,EffendiRistriy1,1
erunobi_,Rocky_Antonie,1
erunobi_,Yattie2023,1
erunobi_,adri_7i,1
erunobi_,corbuzier,2
erunobi_,jokowi,1
erunobi_,mas_veel,1
erunobi_,slow_zeze,2
erunobi_,xquitavee,1
erunobi_,zy_zy_its_me,1
eryaneriyan,sosmedkeras,1
eunikero,tanyarlfes,1
f4tl0l,roan_gylberth,1
fabianahahn235,tilehopper,1
fadhlierlanda,Hasbil_Lbs,2
fadilahdifa,kangdede78,1
fadlan_yudatama,brfelindra,1
faisdzaky,WidasSatyo,1
farizrizyy,kegblgnunfaedh,1
fayzul_rafi,saludosparatii,1
fdmncfdmnc,zenrs,1
ferizandra,blank0429,1
ferlanmedian,corbuzier,1
firman__nurhuda,ARSIPAJA,1
firman__nurhuda,DPR_RI,1
firman__nurhuda,G0mb4k,1
firman__nurhuda,cakimiNOW,1
firnasional,asumsico,2
firnasional,en_pau,2
firnasional,msaid_didu,1
